Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Date,Year,Month,Week,Day,Hour,DayOfWeek,IsWeekend,IsMonthEnd,DayOfWeek_sin,DayOfWeek_cos,Hour_sin,Hour_cos,Cleaned_Description,IsLargeAmount,IsVeryLargeAmount,AmountLevel,IsRecurring,Type_Adjustment,Type_Fee,Type_Return,Type_Sale,ZScore_Amount,IsOutlier_Z,PromptText
2023-09-23,11/19/2023,CHIPOTLE ONLINE,Food & Drink,sale,-58.52,,2023-11-19,2023,11,46,19,0,6,1,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,chipotle online,0,0,small,1,False,False,False,True,-0.24360299848744385,0,"Transaction de -58.52€ chez chipotle online, de type Sale, catégorie Food & Drink"
2023-09-23,10/29/2023,CIRCLE K # 04893,Gas,sale,-7.62,,2023-10-28,2023,10,43,28,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,circle k  04893,0,0,very_large,1,False,False,False,True,0.5135072039909108,0,"Transaction de -7.62€ chez circle k  04893, de type Sale, catégorie Gas"
2023-09-23,10/8/2023,DD DOORDASH MODPIZZA,Food & Drink,sale,-26.4,,2023-10-07,2023,10,40,7,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,dd doordash modpizza,0,0,medium,0,False,False,False,True,0.23416477565017407,0,"Transaction de -26.4€ chez dd doordash modpizza, de type Sale, catégorie Food & Drink"
2023-09-23,10/22/2023,WENDYS 644,Food & Drink,sale,-25.76,,2023-10-20,2023,10,42,20,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,wendys 644,0,0,medium,0,False,False,False,True,0.24368443242003937,0,"Transaction de -25.76€ chez wendys 644, de type Sale, catégorie Food & Drink"
2023-09-24,12/5/2023,KROGER,Groceries,sale,-43.97,,2023-12-04,2023,12,49,4,0,0,0,0,0.0,1.0,0.0,1.0,kroger,0,0,medium,1,False,False,False,True,-0.027179551610035952,0,"Transaction de -43.97€ chez kroger, de type Sale, catégorie Groceries"
2023-09-24,10/11/2023,AMZN Mktp US*TE32047Y2,Shopping,sale,-28.37,,2023-10-10,2023,10,41,10,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,amzn mktp uste32047y2,0,0,medium,0,False,False,False,True,0.20486208215543222,0,"Transaction de -28.37€ chez amzn mktp uste32047y2, de type Sale, catégorie Shopping"
2023-09-24,10/10/2023,COLONY 7 CINEMAS INC,Entertainment,sale,-18.21,,2023-10-09,2023,10,41,9,0,0,0,0,0.0,1.0,0.0,1.0,colony 7 cinemas inc,0,0,large,0,False,False,False,True,0.35598663337704484,0,"Transaction de -18.21€ chez colony 7 cinemas inc, de type Sale, catégorie Entertainment"
2023-09-24,11/5/2023,PANERA BREAD #204922 O,Food & Drink,sale,-9.34,,2023-11-04,2023,11,44,4,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,panera bread 204922 o,0,0,very_large,1,False,False,False,True,0.48792312642189767,0,"Transaction de -9.34€ chez panera bread 204922 o, de type Sale, catégorie Food & Drink"
2023-09-24,11/23/2023,BP#9561101CAPL KY0001,Gas,sale,-44.84,,2023-11-22,2023,11,47,22,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,bp9561101capl ky0001,0,0,medium,1,False,False,False,True,-0.040120335031571745,0,"Transaction de -44.84€ chez bp9561101capl ky0001, de type Sale, catégorie Gas"
2023-09-24,10/9/2023,AMZN Mktp US*TE9U858D2,Shopping,sale,-9.6,,2023-10-09,2023,10,41,9,0,0,0,0,0.0,1.0,0.0,1.0,amzn mktp uste9u858d2,0,0,large,1,False,False,False,True,0.4840557658591398,0,"Transaction de -9.6€ chez amzn mktp uste9u858d2, de type Sale, catégorie Shopping"
